,sentiment,Open,High,Low,Close,Volume
2021-07-12,0.2389997603992621,34254.015625,34592.15625,32697.30859375,33155.84765625,24321499537
2021-07-13,0.17203628833879503,33125.46875,33327.1015625,32261.419921875,32702.025390625,19120856669
2021-07-14,0.12984746723499113,32723.845703125,33061.3984375,31639.125,32822.34765625,21376531210
2021-07-15,0.13348357334281458,32827.875,33159.640625,31175.708984375,31780.73046875,21300524237
2021-07-16,0.43885626433751523,31841.55078125,32218.40625,31100.673828125,31421.5390625,23699476918
2021-07-17,0.31601828660653986,31397.30859375,31935.9453125,31223.990234375,31533.068359375,18895018942
2021-07-18,-0.030561929941177367,31533.884765625,32398.99609375,31215.4921875,31796.810546875,18787986667
2021-07-19,0.010399331466867289,31800.01171875,31885.859375,30563.734375,30817.83203125,20434789545
2021-07-20,-0.2047933193926628,30838.28515625,31006.1875,29360.955078125,29807.34765625,23148267245
2021-07-21,0.3590715077974029,29796.28515625,32752.326171875,29526.18359375,32110.693359375,28203024559
2021-07-22,0.5363556880463836,32138.873046875,32576.400390625,31745.298828125,32313.10546875,19555230518
2021-07-23,0.38934276432826603,32305.958984375,33581.55078125,32057.892578125,33581.55078125,22552046192
2021-07-24,0.5435270859549443,33593.73046875,34490.390625,33424.859375,34292.4453125,21664706865
2021-07-25,0.4611105108872438,34290.29296875,35364.92578125,33881.8359375,35350.1875,20856685287
2021-07-26,0.4772519441538079,35384.03125,40499.67578125,35287.3125,37337.53515625,51022126212
2021-07-27,0.35776464424087007,37276.03515625,39406.94140625,36441.7265625,39406.94140625,35097370560
2021-07-28,0.5392408187572773,39503.1875,40816.0703125,38862.4375,39995.90625,38702404695
2021-07-29,0.38466454178094867,39995.453125,40593.0703125,39352.05859375,40008.421875,27167146027
2021-07-30,0.3407782568651087,40027.484375,42235.546875,38397.35546875,42235.546875,33072782960
2021-07-31,0.5767674165613511,42196.3046875,42231.44921875,41110.83203125,41626.1953125,25802845343
2021-08-01,0.5416110185059634,41460.84375,42541.6796875,39540.94140625,39974.89453125,26688438115
2021-08-02,0.4253153493480077,39907.26171875,40419.1796875,38746.34765625,39201.9453125,25595265436
2021-08-03,0.3820299085067666,39178.40234375,39750.03125,37782.05078125,38152.98046875,26189830450
